isbn,bid
9781619634473,29598222
9781501116469,27173609
9781101580882,17681631
9780547928173,15814498
9780345803504,13536860
9781626922433,25667109
9780767908962,7025868
9780062420398,25817647
9781101128657,7856504
9780061348136,3435816
9780307956996,20262505
9780062289247,20705702
9780804141260,27070127
9781101606636,16117886
9780446553933,22501099
9781466838581,20517393
9781423154389,10339475
9780812989267,25387554
9781455587940,25067012
9781400068326,25852870
9781250044631,22857246
9780307592231,9580315
9781460391891,27904904
9780312368111,4837579
9780399162596,22402972
9780698163478,22724766
9781451636017,18774981
9781451606867,12889385
9780062089236,25816604
9780805094206,17740743
9781476776293,21412175
9780307788665,11114829
9781455588992,24820246
9780804177917,25430285
9780545839662,25943094
9781594488870,6224826
9781426887635,10453891
9781455541164,28260001
9780670022694,10054335
9781420131994,17989399
9781941824023,19287264
9780345544049,24338293
9780425255711,23398665
9780812988406,25614898
9780316097512,13528318
9781451684940,15800614
9780615523774,19287058
9780307962706,16113421
9780345527387,15981669
9780062087140,10650333
9780525954842,22522170
9781101973127,28109886
9781400069262,7176578
9781455563111,25067003
9780385534444,10315830
9780553391909,27069131
9780062035035,10489895
9781416547860,17334495
9781250020109,23847964
9781770462090,23848562
9781451617818,25205422
9780062349378,22638071
9780062098061,13425383
9780345532176,12528245
9780547415987,7712107
9781555848149,16492211
9781101636466,18737698
9781250060990,21408138
9781400043132,13330444
9781250036148,18374625
9780312364434,11963131
9781459215177,12439769
9780446553964,25318908
9780698197770,30645563
9780316206860,18196751
9780385341974,7093222
9780553807097,3422075
9780062223067,25508114
9780758210227,4615457
9781101476925,9862893
9780385343190,12178697
9780670026609,15507958
9781459213845,12160108
9781460330197,22833206
9780061974328,13459547
9781250018120,13721544
9781460311950,17643584
9781501100130,22453035
9781607747208,22716561
9781101597781,18932042
9781501104831,27173600
9780062320155,23213828
9780345546883,18465837
9780316225939,20881071
9781429942324,13166452
9781250029577,18404195
9780399157813,10824407
9781421585062,27406744
9781459294035,28162057
9781250020017,17910436
9780307452917,12459151
9780670021871,7093952
9781400065943,17345258
9781101586945,15746177
9781433688669,25245761
9780312368487,6404582
9780061257070,6673171
9780307599469,12712435
9780525954552,25387897
9780812993424,17834864
9780698148451,20724450
9780399155291,2990950
9780778312710,11216649
A00B01GNLNGZU,
9780399158582,18693897
9781939996237,23290347
9781101621004,24683492
9780316194495,11516720
9780156027328,170453
9780425256220,12119529
9781460317976,18228721
9780553807998,13330537
9781632157119,28862528
9780698189317,27066316
9780547250250,23719479
9780670022120,7932176
9781596987784,13236232
9781439199367,25111114
9780385534833,18666006
9780345509086,6503350
9780670026463,18693828
9781594205866,22529144
9780803740815,20912424
9780345507174,7102555
9780698190740,
9780679462712,2902901
9781594634710,24453082
9781632362544,26067707
9781476727240,16130178
9780062316059,25742665
9780385343831,8366402
9781591844754,13588403
9780698405905,26086440
9780062079602,17349092
9781421580418,25813250
9780316013697,843804
9780061128899,4886091
9780062320148,25817007
9780345532619,17162372
9781451695205,15801448
9780062069139,13425449
9780670022045,8176075
9780316263702,26245030
9780441018642,7091488
9781416596714,10925219
9780307594884,13642929
9781477875568,
9780345521415,25614078
9781455554591,23341862
9781101886786,23834721
9781588368393,6996044
9780307887955,10339732
9780307459923,7005305
9780545662758,24612559
9780062114426,13425397
9780553593686,9670341
9780062297174,18053116
9780060004903,18089877
9781439158906,6485415
9780062297211,20188558
9780451464408,12216302
9781460320976,18443004
9781460381809,25692997
9781466891548,24889121
9780688163181,2830067
9781439100530,13573682
9781451617740,10816348
A00B00ANDLC6K,
9780804137256,16278318
9780062238467,24331373
9780399157141,8219033
9780399160134,13092965
9781595230997,15808231
9780345528841,18209302
9780544272996,21413662
9780061941009,9918639
9780316018784,6405929
9781401256821,25241708
9781451606270,17860615
9781250082367,25900153
9781101903599,25430691
9780553419030,24726336
9781101599983,18077547
9780307931474,18594577
9781455536115,24820192
9780765330420,10803121
9780698193666,28262447
9780698146280,28016420
9780316201568,16131058
9781451617542,15802723
9780062049827,11069349
9780892969968,24820022
9781451643145,11477416
9781250072689,24464121
9780399176050,26025992
9780812998399,25300899
9781429959308,7902660
9780759520127,9936218
9780425234358,7123581
9780061242991,13623788
9780312368081,3059921
9781101580899,13480066
9781101990261,25734248
9780525953012,16101020
9781101621745,18474777
9780061468360,4003436
9780062351425,23129410
9781582346182,35982
9780525952367,13586743
9780984932634,
9781616557584,24476149
9781590514887,25734059
9780312362157,2299110
9780345516534,17797253
9781101587324,16008118
9780062135285,18052893
9780385531542,7144448
9780698187221,25125093
9781455586417,27465987
9781414311630,7880520
9781418525651,6992276
9780547927749,22827644
9780765330536,13167796
9781594206368,24612068
9780316037914,7956991
9781476793757,26084577
9780062294371,17888952
9780373282104,25787027
9780553807738,15797722
9780316127233,11319137
9781481457040,25074598
9780316214582,13521462
9780316276382,28925597
9780316067607,2909286
9780446571852,7726611
9780684864839,6665846
9781101475973,10255204
9781101585009,16441391
9780991418268,23666106
9781419717017,25222064
9780373775552,8964279
9780758279590,16340668
9780778317494,24314741
9780795304934,24629405
9780451462565,3475161
9780525428435,23281919
9780312380366,26883206
9781480441927,18342207
9780062248398,15819071
9780062267429,18599751
9780307345837,6997053
9780062292889,17675653
9780345516107,6718608
9780425258743,13075659
9780670022526,18012681
9780785193197,25861681
9780307351937,6987915
9780399156496,7195007
9780545800709,22749552
9780385349963,17262197
9780399157431,9485701
9780553496642,18692431
9780345541802,16246628
9781101615881,20666265
9781459292413,27825357
9781501110351,27201015
9780804139212,21481542
9780778312512,10825011
9781455538393,25777509
9780345548528,25300824
9781401340902,4836308
9781572245372,1963638
