3080212,51060
6987779,73375
6987779,47891
15742642,61989
18170133,68662
18114068,162361
18693684,66897
18202459,106716
20736522,147086
13534887,58286
25735012,118030
25134015,104135
2924318,99435
24944830,116047
24944830,156642
18316089,80263
2013929,64429
17989291,74427
25689025,93819
6553732,46490
3128819,43886
9549746,115569
6670347,91603
6449551,110640
18089928,68001
18052914,76674
18052914,76648
18052914,76675
2014625,52385
21943929,96092
25329850,59803
13154150,92975
23848051,125140
17280472,68862
24974121,148326
21413809,165793
19163728,125445
24952350,82744
25785357,130497
7240582,131052
13642157,72279
25688730,108689
13330837,45369
17349023,64176
7005610,157541
6559316,82137
26891268,131537
26026013,57954
2612,56070
2612,50054
2612,56074
17331349,51816
9896304,48149
15819169,179978
26240627,112976
18342207,70696
13459547,56758
18079815,123638
23848010,125140
6449064,88542
2202795,41756
26370353,119203
8765012,59384
8701853,116900
21603925,85987
23848559,93635
24819476,133528
25125093,105631
25739018,109085
25310628,105229
25310614,128701
13586741,51816
18639969,59407
25387158,90095
17333302,131431
6716424,73272
18213403,83084
25817353,99295
22459697,95952
25318833,109990
25318833,70647
128029,54458
18464803,104816
26631602,115640
25202899,104730
2230284,100097
23847964,103099
21801489,85014
2983562,172801
